Energy(logE),EF(logflux)
15.0091,-16.1172
15.2721,-16.1811
15.5488,-16.2503
15.8209,-16.3142
15.9615,-16.3462
16.1338,-16.3462
16.2925,-16.3462
16.5102,-16.3569
16.7415,-16.3515
16.9637,-16.3622
17.1224,-16.3515
17.2857,-16.3249
17.4308,-16.3036
17.6122,-16.3356
17.8118,-16.3782
17.9932,-16.4953
18.1701,-16.6498
18.3016,-16.8043
18.4966,-17.0226
18.7098,-17.3103
18.9002,-17.5819
19.0771,-17.8162
19.2721,-18.1252
19.4218,-18.3435
19.5578,-18.6205
19.712,-18.9401
19.907,-19.3395
20.0249,-19.6858
20.1655,-20.1385
20.2698,-20.5113
20.356,-20.8415
20.4512,-21.1664
