Energy,Flux
14.4422,-15.8509
14.5737,-15.8296
14.737,-15.8083
14.8685,-15.8296
15.0045,-15.8775
15.1633,-15.9308
15.3628,-16
15.5714,-16.1385
15.7891,-16.2557
15.9569,-16.3622
16.1519,-16.5273
16.3061,-16.6551
16.5465,-16.8522
16.7914,-16.9747
16.941,-16.996
17.1497,-16.9854
17.3129,-16.9587
17.4762,-16.9587
17.6667,-16.996
17.8934,-17.0972
18.0794,-17.2037
18.2608,-17.3901
18.4059,-17.5712
18.5601,-17.8056
18.6871,-18.0666
18.8095,-18.3276
18.9546,-18.6631
19.0771,-18.9987
19.1542,-19.2064
19.2449,-19.4674
19.3356,-19.7603
19.3991,-20
19.4898,-20.3036
19.5669,-20.5965
19.6349,-20.8735
19.6757,-21.0546
19.712,-21.1718
